Customer Name,Total Sales,Total Profit,Number of orders
Jason Gross,2240.58,3.7976000000000063,6
Carl Jackson,16.52,1.652,1
Eric Barreto,944.6000000000001,0.6042000000000058,5
Lela Donovan,5.304,0.4641,1
Ritsa Hightower,740.382,0.30570000000000164,2
Karen Seio,88.472,0.11099999999999888,3
Jasper Cacioppo,71.263,-0.35560000000000036,4
Paul Lucas,239.481,-0.7527000000000026,5
Mitch Gastineau,16.739,-1.2453,1
Adrian Hane,1735.5140000000001,-2.3145999999999773,7
Thais Sissman,4.833,-3.3156,2
Susan Gilcrest,47.946,-3.7073,3
Michael Dominguez,1204.91,-4.040300000000002,5
Alex Grayson,660.972,-5.137100000000006,5
Greg Hansen,146.94080000000002,-5.810200000000001,2
Odella Nelson,1567.52,-5.88900000000001,9
Guy Thornton,226.436,-6.139200000000002,4
Anthony Garverick,170.584,-8.431000000000001,4
Neola Schneider,2575.863,-12.303999999999997,4
Jonathan Howell,959.477,-13.554499999999996,7
Herbert Flentye,2533.1639999999998,-13.876799999999989,7
Bill Stewart,3887.834,-17.532200000000024,5
Jeremy Farry,1082.918,-18.06730000000001,11
Scot Wooten,1085.078,-19.60620000000001,7
Pete Takahito,160.572,-20.0508,4
Sarah Jordon,1341.036,-23.5137,6
Michelle Tran,1319.4498,-23.676300000000005,4
Jennifer Halladay,309.281,-24.077100000000005,4
Nick Radford,2367.277,-25.148799999999966,5
Sally Matthias,244.49399999999997,-26.5927,4
Anna Chung,657.316,-28.700399999999995,5
Joni Wasserman,1244.086,-29.575899999999987,7
Denny Ordway,1300.0315,-38.90860000000001,9
David Philippe,1058.616,-40.93759999999999,2
Carlos Meador,565.392,-43.732400000000005,2
Liz MacKendrick,1346.774,-44.87799999999999,5
Phillina Ober,1056.858,-49.70089999999999,5
Laurel Beltran,4985.676,-52.19099999999998,8
Vivek Grady,427.372,-52.333,5
Erin Ashbrook,2846.705,-52.74059999999998,13
Dionis Lloyd,3539.322,-52.78799999999997,8
Jim Sink,1131.0639999999999,-54.8692,4
Barry Weirich,385.516,-58.28659999999999,3
Alyssa Crouse,925.8,-62.1342,3
Berenike Kampe,659.1379999999999,-63.764399999999995,6
Mick Crebagga,2218.98,-64.1668,10
Ralph Ritter,615.932,-73.835,2
Sung Shariari,964.636,-75.586,5
Maris LaWare,2921.5,-76.17550000000003,6
Bobby Trafton,603.876,-77.5256,4
Edward Becker,3236.314,-80.28599999999999,10
Sean O'Donnell,2602.5755,-81.0858,6
Michael Oakman,154.288,-82.0074,2
David Wiener,1080.751,-86.87379999999999,6
Mike Gockenbach,3061.543,-93.603,4
Erica Hernandez,1219.53,-94.14079999999997,7
Gene Hale,1361.2440000000001,-95.4498,2
Vicky Freymann,847.944,-96.27799999999999,5
Justin Hirsh,2256.3940000000002,-96.95300000000002,4
Allen Rosenblatt,2236.128,-98.7646,5
Arthur Wiediger,2852.968,-104.5486,7
Darren Koutras,1687.04,-107.35379999999998,5
Bruce Stewart,2562.382,-113.29840000000003,7
Sibella Parks,1306.086,-118.77570000000001,6
Sheri Gordon,1884.798,-119.0105,8
Carlos Soltero,3036.547,-126.4223,11
Henia Zydlo,886.52,-130.3879,5
Eleni McCrary,2567.0099999999998,-133.8275,5
Pamela Stobb,2181.479,-134.441,6
Thea Hendricks,2422.824,-135.2125,5
Harold Dahlen,251.36,-135.87599999999998,3
Troy Blackwell,1387.559,-136.4091,5
Shahid Hopkins,2180.718,-144.5229,10
Katherine Nockton,2617.272,-151.1518,9
Andy Gerbode,1455.038,-152.7613,4
Art Foster,861.565,-163.1175,4
Randy Bradley,1008.1959999999999,-164.40619999999998,2
Jill Stevenson,1417.654,-175.54899999999998,4
Kelly Lampkin,5016.488,-182.78130000000002,8
Pauline Chand,1061.488,-184.3364,2
Toby Swindell,974.7819999999999,-184.97889999999998,5
Lena Cacioppo,2580.7039999999997,-188.25110000000004,8
Amy Hunt,2495.3916,-196.12009999999998,5
Benjamin Patterson,1181.49,-197.2695,5
Carol Darley,639.766,-206.7172,3
Jack Lebron,1214.956,-207.79559999999998,6
Alex Russell,1055.694,-221.0544,4
Valerie Takahito,1736.596,-224.08889999999997,2
Noel Staavos,2964.823,-234.7714,13
Susan MacKendrick,1043.041,-237.2885,1
Maribeth Dona,3766.382,-241.94999999999996,7
Lisa Hazard,318.239,-242.73989999999998,4
Anna Gayman,3489.0396000000005,-246.42570000000003,7
Matthew Clasen,795.154,-247.94350000000003,4
Thea Hudgings,2942.772,-252.5539,4
Aaron Smayling,3050.692,-253.57459999999998,7
David Flashing,2390.534,-259.3097,3
Vivek Sundaresam,1055.981,-262.8093,4
John Dryer,2152.352,-266.55249999999995,5
Dorothy Wardle,1204.854,-266.8966,7
Giulietta Weimer,2189.019,-268.54229999999995,7
Stefania Perrino,5440.319,-270.42819999999995,9
Ann Blume,1515.862,-274.9604,4
Joni Blumstein,900.552,-286.9808,3
Barry Franz,1333.88,-291.38109999999995,4
Troy Staebel,2820.424,-294.6981,7
Elpida Rittenbach,1245.788,-295.7398,3
Cindy Schnelling,1077.2285,-302.8761,4
Joy Smith,2516.494,-311.25749999999994,6
Sam Craven,3362.9636,-317.0508,5
Linda Southworth,2845.27,-318.77369999999996,6
Beth Paige,2475.157,-319.0637,7
Joni Sundaresam,469.169,-327.9336,5
Cyma Kinney,1582.109,-338.4311,9
Maureen Fritzler,937.039,-341.52650000000006,5
Christopher Schild,3651.8585000000003,-342.80330000000004,9
Noah Childs,1821.742,-359.02099999999996,5
Alex Avila,5563.56,-362.8825,5
Muhammed Yedwab,4152.696,-371.7111,11
Alan Haines,1587.452,-378.5509,4
Lisa Ryan,1879.306,-382.8079,5
Charles McCrossin,2533.314,-394.3686,6
Maureen Gnade,1342.282,-398.79319999999996,3
Michael Kennedy,2302.368,-405.3559,8
Darrin Van Huff,1119.483,-427.184,5
Ryan Akin,1686.9225,-445.695,5
Ross Baird,5633.316000000001,-461.73319999999995,8
Michael Grace,1242.8329999999999,-470.7684,5
Michelle Moray,2749.881,-520.3443,8
Tracy Hopkins,4234.0960000000005,-571.9678,7
Gary Hansen,2819.4669999999996,-576.8335,9
Peter Fuller,9062.864,-614.2943000000001,4
Joseph Holt,7954.9980000000005,-644.6982,6
Stewart Carmichael,4492.657,-671.1874,7
Tanja Norvell,3130.221,-692.0452,7
Barry Gonzalez,2798.948,-711.4274,8
Skye Norling,1860.418,-716.8565000000001,6
Jim Radford,1156.658,-785.1645,2
Paul Knutson,1441.152,-798.705,2
Joseph Airdo,6491.026,-819.4217000000001,8
Victoria Wilson,6134.0380000000005,-874.6645,10
Olvera Toch,3818.624,-925.1203,5
Shahid Shariari,3056.8070000000002,-1010.9738,6
Victoria Pisteka,3360.526,-1018.7768,7
Zuschuss Carroll,8025.707,-1032.1490000000001,13
Tom Prescott,5329.0048,-1087.3898,5
Rose O'Brian,3815.478,-1262.5716000000002,7
David Bremer,2973.094,-1421.7692,7
Dan Campbell,3336.168,-1441.6312999999998,9
Tracy Blumstein,4737.486,-1603.0451,9
Becky Martin,11789.63,-1659.9580999999998,4
Natalie Fritzler,8322.826,-1695.9714,7
Christine Phan,5888.275,-1850.3029000000001,8
Sean Miller,25043.05,-1980.7393,5
Sean Braxton,8057.891,-2082.7451,7
Nathan Cano,2218.9900000000002,-2204.8072,6
Henry Goldwyn,3247.642,-2797.9635000000003,12
Sharelle Roach,3233.481,-3333.9144,5
Luke Foster,3930.5089999999996,-3583.977,7
Grant Thornton,9351.212,-4108.6589,3
Cindy Stewart,5690.054999999999,-6626.389499999999,6
